Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-03-03,15.5429,15.8903,15.4858,15.7696,5244254.3966758
2005-03-04,15.7134,16.0598,15.7134,16.0598,2931002.0741054
2005-03-07,16.0036,16.4009,16.0036,16.2304,3251866.3152928
2005-03-08,16.0598,16.2884,15.9474,16.117,1941436.9996993
2005-03-09,16.0598,16.4009,16.0598,16.2304,4691758.9454961
2005-03-10,16.0598,16.1741,16.0036,16.0598,2160753.019332
2005-03-11,16.0598,16.117,15.9474,16.0036,1969800.8600995
2005-03-14,15.8903,16.0598,15.7696,15.7696,953379.21020876
2005-03-15,15.8268,16.0036,15.7696,15.7696,1958517.7243712
2005-03-16,15.7134,15.7696,15.2582,15.2582,2358704.6259997
2005-03-17,15.3153,15.5429,15.2582,15.4858,3771697.6784421
2005-03-18,15.4858,15.5991,15.3716,15.4287,3296005.3953612
2005-03-21,15.5429,15.6563,15.201,15.201,1787153.6533056
2005-03-22,15.2582,15.4858,15.2582,15.4858,847993.86246092
2005-03-23,15.3716,15.4858,15.2582,15.4287,1330103.4083131
2005-03-24,15.4287,15.4858,15.2582,15.2582,1711805.9468664
2005-03-29,15.3153,15.3716,15.0251,15.0822,1424863.8859468
2005-03-30,15.3153,15.5991,15.3153,15.5991,2415337.5212676
2005-03-31,15.5429,15.9474,15.5429,15.9474,2318548.2182904
2005-04-01,15.7696,15.8903,15.4858,15.4858,887765.4549284
2005-04-04,15.6563,15.6563,15.3716,15.5429,1323796.4077888
2005-04-05,15.4287,15.5991,15.2582,15.5991,1241540.7715793
2005-04-06,15.4858,15.6563,15.4287,15.6563,1159397.6028618
2005-04-07,15.6563,15.7134,15.4287,15.5429,892428.44535105
2005-04-11,15.3716,15.7134,15.201,15.6563,1336503.0291249
2005-04-12,15.5429,15.5991,15.4287,15.5991,521315.49299293
2005-04-13,15.5429,15.6563,15.4858,15.5991,979653.60102959
2005-04-14,15.4287,15.6563,15.4287,15.4858,656472.75003421
2005-04-15,15.3716,15.4287,15.2582,15.3153,935073.47197352
2005-04-18,15.201,15.201,15.0251,15.0822,1332052.8448388
2005-04-19,15.0251,15.201,15.0251,15.1439,808411.92105816
2005-04-20,15.1439,15.201,14.6841,14.8537,1985125.1071777
2005-04-21,14.9108,15.1439,14.8537,15.0822,1234574.4028183
2005-04-22,15.0822,15.3716,15.0822,15.201,1173077.8398383
2005-04-25,15.201,15.2582,14.9108,14.9108,566276.02680092
2005-04-26,14.9108,15.0822,14.7975,14.8537,1271644.570236
2005-04-27,14.8537,14.8537,14.393,14.5117,2140421.7636207
2005-04-28,14.5117,14.627,14.393,14.393,1619111.7837401
2005-04-29,14.4564,14.627,14.4564,14.4564,1865927.207757
